sp;lon;lat
Distimake_aegyptius;-51.616667;-20.783333
Distimake_aegyptius;-47.466667;-22.366667
Distimake_aegyptius;-47.06083;-22.90556
Distimake_aegyptius;-46.9425;-22.372222
Distimake_aegyptius;-49.516667;-19.916667
Distimake_aegyptius;-47.5651394;-22.4149023
Distimake_aegyptius;-49.972028;-20.4252908
Distimake_aegyptius;-45.366644;-23.816335
Distimake_aegyptius;-46.914183;-22.429194
Distimake_aegyptius;-47.198575;-22.277208
Distimake_aegyptius;-49.851105;-21.530328
Evolvulus_glomeratus;-48.1773096;-21.7886713
Evolvulus_glomeratus;-47.077171;-22.870251
Evolvulus_glomeratus;-47.4013437;-20.5393288
Evolvulus_glomeratus;-49.3352464;-24.1145368
Evolvulus_glomeratus;-48.65972222;-22.40444444
Evolvulus_glomeratus;-46.1926671;-23.5234284
Evolvulus_glomeratus;-47.6480644;-22.7342864
Evolvulus_glomeratus;-47.5651394;-22.4149023
Evolvulus_glomeratus;-47.533333;-22.383333
Evolvulus_glomeratus;-46.6333094;-23.5505199
Evolvulus_glomeratus;-46.630278;-23.540556
Ipomoea_alba;-46.7644;-22.7011
Ipomoea_alba;-48.4441654;-22.8841808
Ipomoea_alba;-47.077171;-22.870251
Ipomoea_alba;-47.06083;-22.90556
Ipomoea_alba;-49.9139767;-20.080447
Ipomoea_alba;-49.9142;-20.0819
Ipomoea_alba;-51.628639;-20.817944
Ipomoea_alba;-44.957222;-23.072222
Ipomoea_alba;-44.9525;-23.073056
Ipomoea_alba;-47.4013437;-20.5393288
Ipomoea_alba;-47.5574895;-24.7069669
